Mental Model,Category,Subcategory,Type,Key Application,Description,Sources
Antifragile,Key Concepts,Foundational Thinking,Resilience Framework,,"Systems that benefit from disorder, volatility, and stress",Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Gabriel Weinberg & Lauren McCann; Nassim Taleb; Nassim Taleb (Antifragile); Shane Parrish; SuperThinking; SuperThinking (Weinberg/McCann)
Antifragile Systems,System Design,Resilience,Framework,,,Antifragile; Nassim Taleb
Apophenia,Comprehensive List,General,Mental Model,,,99 Mental Models
Assumptions Hacking,Assumptions,Constraints,Decision Framework,,,Ozan Varol; Think Like a Rocket Scientist
Asymmetric Information,Economics and Art,Economics,Economic Principle,,"When one party has more info than other, market efficiency decreases",Behavioral Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4
Atomic Habits,Behavior Change,Behavior Design,Behavioral Framework,,Tiny 1% improvements compound into remarkable results over time,Atomic Habits; James Clear; James Clear (Atomic Habits)
Atomic Habits Framework,Habits,System Design,Behavioral Model,,,Atomic Habits; James Clear
Attain Distance Before Deciding,Distance,Perspective Taking,Decision Framework,,,Chip & Dan Heath; Decisive
Audience,Economics and Art,Art,Art Concept,,Who receives interprets,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Authority,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Authority Bias,Comprehensive List,General,Mental Model,,,99 Mental Models
Authority Support,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict
Availability Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Availability Heuristic,Cognitive Bias,Accessibility,Cognitive Bias,,Overestimating the probability of events that easily come to mind,"99 Mental Models; Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); SuperThinking; Thinking, Fast and Slow"
Babel Problem,Comprehensive List,General,Mental Model,,,99 Mental Models
Backfire Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Bandwagon Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Barbell Portfolio Strategy,Risk & Uncertainty,Portfolio Strategy,Investment Model,,,Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Barbell Strategy,Risk Management,Portfolio Design,Portfolio Strategy,,Combine conservative core with aggressive bets to limit downside while enabling upside,Antifragile; Investment Strategy; Nassim Taleb; Nassim Taleb (Antifragile)
Base Rate Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Reasoning Bias,,Ignoring base rate when making probabilistic judgments,99 Mental Models; Gabriel Weinberg & Lauren McCann; Probability Theory; SuperThinking; SuperThinking (Weinberg/McCann)
Behavior Design,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits
Behavior > Knowledge,Finance,Behavior,Behavioral Model,,,Morgan Housel; Psychology of Money
Behavior Matters More Than Knowledge,Finance & Behavior,Investment Psychology,Behavioral Model,,,Morgan Housel; Psychology of Money; The Psychology of Money
Bell Curve,Comprehensive List,General,Mental Model,,,99 Mental Models
Bias,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Big Five Personality Traits,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Bike-Shedding,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Birth Lottery,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Black-and-White Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Black and White Thinking,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Black Swan,Probability & Risk,Probability,Risk Framework,,Highly improbable events with massive impact that seem predictable only in hindsight,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb; Nassim Taleb (Black Swan); SuperThinking
Black Swan Events,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Black Swan Theory,Risk & Probability,Rare Events,Risk Framework,,,Black Swan; Nassim Taleb
Boiling Frog,Key Concepts,Foundational Thinking,Change Pattern,,"Slow, incremental changes go unnoticed until too late",99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Boiling Frog Syndrome,Comprehensive List,General,Mental Model,,,99 Mental Models
Bottlenecks,Systems and Mathematics,Systems,System Concept,,The slowest part of a system determines overall output,Great Mental Models Vol 3; Operations Management; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3
Brain Plasticity,Comprehensive List,General,Mental Model,,,99 Mental Models
Brand,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
BRAVING Framework,Trust,Building,Leadership Framework,,,Brené Brown; Dare to Lead
BRAVING Framework for Trust,Trust & Relationships,Trust Building,Relationship Framework,,"Boundaries, Reliability, Accountability, Vault, Integrity, Non-judgment, Generosity",Brené Brown; Brené Brown (Dare to Lead); Dare to Lead
Bridging the Divide Between Systems,Business & Life,Systems & Decision-Making,Principle,,,Principles; Ray Dalio
Broken Windows Theory,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Broken Window Theory,Comprehensive List,General,Mental Model,,,99 Mental Models
Butterfly Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Bystander Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Cash Flow Quadrant,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Catalysts,"Physics, Chemistry, Biology",Chemistry,Chemistry Principle,,Elements that accelerate change without being consumed in the process,Chemistry; Great Mental Models Vol 2; Shane Parrish; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; SuperThinking
Categorical Imperative,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Challenge Extrovert Ideal,Work Environment,Culture,Organizational Model,,,Quiet; Susan Cain
Chaos Dynamics,Systems and Mathematics,Supporting Ideas,System Theory,,Small changes large effects,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Character,Economics and Art,Art,Narrative Concept,,Personalities drive perspective,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Chicken-and-Egg Problem,Comprehensive List,General,Mental Model,,,99 Mental Models
Chilling Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Choice Architecture,Design & Behavior,Decision Context,Design Framework,,How choices are presented shapes which option people select,Behavioral Economics; Cass Sunstein & Richard Thaler; Cass Sunstein & Richard Thaler (Nudge); Nudge
Chunking Technique,Comprehensive List,General,Mental Model,,,99 Mental Models
Churn,Systems and Mathematics,Systems,System Concept,,Ongoing replacement components,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Circle of Competence,General Thinking Concepts,Fundamental Frameworks,Framework,,Operate only within your area of genuine expertise to avoid costly mistakes,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 1; Poor Charlie's Almanack; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking; SuperThinking (Weinberg/McCann)
Circle of Influence vs. Circle of Concern,Comprehensive List,General,Mental Model,,,99 Mental Models
Clustering Illusion,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Cobra Effect,"Biases, Fallacies & Effects",Behavioral & Social,Problem Model,,Attempted solution creates worse version of original problem,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Cognitive Dissonance,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Cognitive Revolution,Human Evolution,Historical Events,Historical Framework,,Development of abstract thinking and language enabling humans to dominate,Sapiens; Yuval Noah Harari; Yuval Noah Harari (Sapiens)
Commitment,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Comparative Advantage,Economics and Art,Economics,Economic Principle,,Relative efficiency determines,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Complete Narrative from Incomplete Information,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money
Complex Adaptive Systems,Systems and Mathematics,Supporting Ideas,System Theory,,Many interacting parts adapt,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Compound Effect of Small Changes,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear
Compounding,Systems and Mathematics,Mathematics,Mathematical Principle,,"Small, consistent gains multiply exponentially over long periods",Great Mental Models Vol 3; James Clear; James Clear (Atomic Habits); Morgan Housel; Morgan Housel (Psychology of Money); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3
Compound Interest,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Confirmation Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Cognitive Bias,,Seeking and favoring information that confirms pre-existing beliefs,Cognitive Science; Daniel Kahneman; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Confirmation Bias in Decisions,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive
Confounding Factor,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Conjunction Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Conscious Learning,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning
Contact Theory,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict
Contact Theory for Conflict,Resolution,Reconciliation,Social Framework,,,Amanda Ripley; High Conflict
Contact Theory for Reducing Conflict,Conflict Resolution,Connection,Social Framework,,,Amanda Ripley; High Conflict
Context,Economics and Art,Art,Art Concept,,Circumstances of creation,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Context + IDEALS Framework,Additional Frameworks,Decision Making,Framework,,,Cross-Source
Contrast Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
Control Group / Randomised Control Trial,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Convergent Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Convex Payoff,Economics,Payoff Structures,Risk Model,,,Antifragile; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Cooperation,"Physics, Chemistry, Biology",Biology,Social Principle,,Working together multiplies success,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Correlation does not imply causation,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Correlation Doesn't Imply Causation,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Cost,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Cost-Benefit Analysis,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Counterfactual Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Creating the Space Between Stimulus and Response,Decision Making & Psychology,Key Principles,Principle,,Pause before react,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Creative Destruction,Economics and Art,Economics,Economic Theory,,Process of disruptive innovation destroys old to create new value,Great Mental Models Vol 4; Schumpeter; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4
Critical Mass,Systems and Mathematics,Systems,System Concept,,Minimum threshold needed for system to become self-sustaining,Great Mental Models Vol 3; Malcolm Gladwell; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking
Critical Mass & Chain Reaction,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Critical Mass / Tipping Point,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Critical Thinking,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Cultural Legacy,Success Patterns,Cultural Context,Success Model,,,Malcolm Gladwell; Outliers
Cumulative Advantage,Success Patterns,Advantage Stacking,Success Framework,,Small advantages compound over time to create massive differences in outcomes,Malcolm Gladwell; Malcolm Gladwell (Outliers); Outliers
Curiosity Gap,Comprehensive List,General,Mental Model,,,99 Mental Models
Dark Patterns,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Dataism,Future Worldviews,Data Age,Philosophical Framework,,Information flow itself becomes the most important thing; humans become data points,Homo Deus; Yuval Noah Harari; Yuval Noah Harari (Homo Deus)
Decentralized Decision Making,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto
Decision Fatigue,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Decision Matrix,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Decision Quality vs Outcome Quality,Decision Making,Quality Decisions,Decision Model,,,Annie Duke; Thinking in Bets
Decision Tree,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Decision Trees,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Deep Principles Over Specific Techniques,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning
Deep Principles Over Techniques,Learning & Mastery,Learning Strategy,Learning Model,,,Josh Waitzkin; The Art of Learning
Deep Principles > Techniques,Learning,Depth,Learning Model,,,Josh Waitzkin; The Art of Learning
Default Effect,"Biases, Fallacies & Effects",Experimental & Observational,Experimental Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Definition Principle,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish
Delay of Gratification,Comprehensive List,General,Mental Model,,,99 Mental Models
Deliberate Practice,Key Concepts,Reasoning & Thinking Models,Learning Framework,,"Focused, challenging practice with feedback is the path to excellence",Angela Duckworth; Angela Duckworth (Grit); Expertise research; Gabriel Weinberg & Lauren McCann; Grit; Malcolm Gladwell (Outliers); SuperThinking; SuperThinking (Weinberg/McCann)
Diffusion of Innovations,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com
Diffusion of Innovations Curve,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
DISC,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Disconfirmation Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Discounted Cash Flow Model,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin
Dissenting Voices in Groups,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets
Distribution,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Distributions,Systems and Mathematics,Supporting Ideas,Statistical Concept,,How data spreads across range,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Divergent Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Double Entry Accounting,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Dunbar's Number,Comprehensive List,General,Mental Model,,,99 Mental Models
Dunning-Kruger Effect,"Biases, Fallacies & Effects",Behavioral & Social,Cognitive Bias,,Incompetent people overestimate their competence; experts underestimate theirs,99 Mental Models; Cognitive Psychology; Dunning & Kruger; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Economies of Scale,Economics and Art,Economics,Economic Principle,,Per-unit costs decrease as production volume increases,Business Strategy; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4
Ecosystems,"Physics, Chemistry, Biology",Biology,Biological System,,Interconnected organisms environment,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Ego Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish
Eisenhower Decision Matrix,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Emergence,Systems and Mathematics,Systems,System Concept,,New properties and patterns arise from interactions of simpler elements,Complexity Science; Great Mental Models Vol 3; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3
Emotion Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish
Endowment Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Energy Minimization,Natural Sciences,Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish
Engineering Humans,Biotechnology,Human Enhancement,Futuristic Framework,,,Homo Deus; Yuval Noah Harari
Entropy,Key Concepts,System & Natural Dynamics,System Concept,,,80 Useful Mental Models; 80 Useful Mental Models Blog; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann); hptbydts.com
Environment Design,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear
Equal Status Interactions,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict
Equilibrium,Systems and Mathematics,Systems,System Concept,,Stable state where internal and external forces are balanced,Economics; Great Mental Models Vol 3; Physics; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3
Equivalence,Systems and Mathematics,Mathematics,Mathematical Principle,,Different expressions same value,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
"Ethos, Pathos, and Logos",Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Evolution as Driver,Systems,Macro Dynamics,Systems Model,,,Principles; Ray Dalio
Evolution as Macro Driving Force,Business & Life,Systems,Systems Model,,,Principles; Ray Dalio
Evolution & Natural Selection,Biology & Adaptation,,Biological Principle,,Species and ideas survive by adapting to environment; fitness is relative,Biology; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; Yuval Harari; Yuval Noah Harari (Sapiens)
Evolution Part 1,Natural Sciences,Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish
Evolution Part 1: Natural Selection and Extinction,"Physics, Chemistry, Biology",Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Evolution Part 2: Adaptation Rate and the Red Queen Effect,"Physics, Chemistry, Biology",Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Evolution Part 2: Red Queen Effect,Natural Sciences,Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish
Exhausted Majority,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict
Existential Risks,Challenges,Global Risks,Risk Framework,,,21 Lessons for 21st Century; Yuval Noah Harari
Expectations Investing,Investment,Valuation,Investment Model,,,Expectations Investing; Expectations Investing / Skill & Luck; Michael Mauboussin
Expectations Investing Framework,Investment,Valuation,Investment Model,,,Expectations Investing; Michael Mauboussin
Expected Value (EV),Decision Theory,,Mathematical Framework,,Calculated average outcome of decision accounting for all probabilities,Decision Theory; Game Theory; Poker Strategy
Expected Value (EV) Thinking,Decision Theory,Value,Strategic Framework,,,Poker Community; Poker Strategy
Expected Value Thinking,Game Theory & Decision,Strategic Frameworks,Strategic Framework,,,Poker Community; Poker Strategy
Externalities,Economics and Art,Economics,Economic Principle,,Costs or benefits affecting third parties not reflected in market price,Economics; Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4; SuperThinking; SuperThinking (Weinberg/McCann)
Face Reality Directly,Philosophy,Approach,Principle,,,Principles; Ray Dalio
Face Reality Head-On,Business & Life,Core Philosophy,Principle,,,Principles; Ray Dalio
Failure as Creative Tool,Creativity,Failure,Creativity Model,,,Imagine; Imagine: How Creativity Works; Jonah Lehrer
Fallible Memory Recognition,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto
False Causality,Core Thinking,Foundational,Core Model,,,Sloww
False Dichotomy,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Falsifiability,Core Thinking,Foundational,Core Model,,,Sloww
Fat Tails,Distributions,Extreme Events,Risk Framework,,,Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Feedback Loop,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Feedback Loops,Systems and Mathematics,Systems,System Framework,,Self-reinforcing cycles that amplify or dampen system behavior over time,Great Mental Models Vol 3; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking
First Principles,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish
First Principles from Rockets,Thinking,Fundamentals,Problem-Solving Framework,,,Ozan Varol; Think Like a Rocket Scientist
First Principles from Rocket Science,Thinking & Design,Problem Solving,Problem-Solving Framework,,,Ozan Varol; Think Like a Rocket Scientist
First Principles Thinking,General Thinking Concepts,Fundamental Frameworks,Framework,,Break down complex problems into fundamental truths and rebuild from there,Adam Grant (Think Again); Clear Thinking; Great Mental Models Vol 1; Ozan Varol; Ozan Varol (Think Like a Rocket Scientist); Ray Dalio; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; Shane Parrish: Clear Thinking; SuperThinking
Flow,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Flynn Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
Flywheel,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Focusing Illusion,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Fogg Behavior Model (B=MAP),Behavior Change,Model,Behavioral Model,,Behavior = Motivation + Ability + Prompt; all three needed simultaneously,BJ Fogg; BJ Fogg (Tiny Habits); Tiny Habits
FOMO,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Fooled by Randomness,Risk & Uncertainty,Probability & Risk,Risk Framework,,,Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
